,MedianICC,MedianICCLower,MedianICCHigher
wavelet-HHH_glrlm_LongRunEmphasis_20_binCount,0.430618763,0.391966498,0.473276183
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis_20_binCount,0.390007941,0.35258665,0.431845627
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis_20_binCount,0.279122974,0.247477964,0.315779098
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis_20_binCount,0.160334239,0.138645287,0.186432661
wavelet-HHH_glrlm_RunEntropy_20_binCount,0.200973201,0.175451691,0.231285545
wavelet-HHH_glrlm_RunLengthNonUniformity_20_binCount,0.799937235,0.773678352,0.825700995
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized_20_binCount,0.607525213,0.569326256,0.64737124
wavelet-HHH_glrlm_RunPercentage_20_binCount,0.50624714,0.466610424,0.548948659
wavelet-HHH_glrlm_RunVariance_20_binCount,0.435488649,0.396721371,0.478206576
wavelet-HHH_glrlm_ShortRunEmphasis_20_binCount,0.60418108,0.565882908,0.644173165
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis_20_binCount,0.273201337,0.241961927,0.309456275
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis_20_binCount,0.222055797,0.194719312,0.254305129
wavelet-HHH_glszm_GrayLevelNonUniformity_20_binCount,0.885985187,0.869212134,0.901997244
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized_20_binCount,0.572716085,0.533659217,0.613911173
wavelet-HHH_glszm_GrayLevelVariance_20_binCount,0.622713058,0.585009977,0.66185209
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis_20_binCount,0.168681426,0.146169659,0.195697463
wavelet-HHH_glszm_LargeAreaEmphasis_20_binCount,0.52043828,0.480810287,0.562937747
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis_20_binCount,0.47900681,0.4395259,0.521911439
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis_20_binCount,0.320868076,0.286640286,0.359990088
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis_20_binCount,0.236363577,0.207863534,0.269831797
wavelet-HHH_glszm_SizeZoneNonUniformity_20_binCount,0.795170238,0.768463014,0.821413678
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized_20_binCount,0.220201754,0.193020092,0.252287498
wavelet-HHH_glszm_SmallAreaEmphasis_20_binCount,0.192368855,0.167622255,0.221842038
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis_20_binCount,0.181934466,0.158154012,0.210351928
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis_20_binCount,0.285653859,0.253572762,0.322737548
wavelet-HHH_glszm_ZoneEntropy_20_binCount,0.331176479,0.296386122,0.370810673
wavelet-HHH_glszm_ZonePercentage_20_binCount,0.661917718,0.62584079,0.698904122
wavelet-HHH_glszm_ZoneVariance_20_binCount,0.523490539,0.483872525,0.565937997
wavelet-HHH_gldm_DependenceEntropy_20_binCount,0.618465879,0.580616638,0.657809807
wavelet-HHH_gldm_DependenceNonUniformity_20_binCount,0.727333434,0.695101892,0.759696564
wavelet-HHH_gldm_DependenceNonUniformityNormalized_20_binCount,0.414998944,0.376762862,0.457407912
wavelet-HHH_gldm_DependenceVariance_20_binCount,0.192966232,0.168165194,0.22249859
wavelet-HHH_gldm_GrayLevelNonUniformity_20_binCount,0.934769156,0.924573345,0.944352306
wavelet-HHH_gldm_GrayLevelVariance_20_binCount,0.680685315,0.645565483,0.716476031
wavelet-HHH_gldm_HighGrayLevelEmphasis_20_binCount,0.171099212,0.148352538,0.198375983
wavelet-HHH_gldm_LargeDependenceEmphasis_20_binCount,0.445419448,0.406439446,0.488235914
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis_20_binCount,0.343330282,0.307915284,0.383519669
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis_20_binCount,0.302233821,0.26909883,0.340333128
wavelet-HHH_gldm_LowGrayLevelEmphasis_20_binCount,0.155072924,0.133911996,0.180579017
wavelet-HHH_gldm_SmallDependenceEmphasis_20_binCount,0.653169458,0.616686106,0.690676844
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis_20_binCount,0.575103251,0.53609292,0.616217982
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis_20_binCount,0.594854277,0.556298322,0.635235306
wavelet-HHH_ngtdm_Busyness_20_binCount,0.629339693,0.591876314,0.668147927
wavelet-HHH_ngtdm_Coarseness_20_binCount,0.842666202,0.820785239,0.863844541
wavelet-HHH_ngtdm_Complexity_20_binCount,0.408022192,0.369995198,0.450293275
wavelet-HHH_ngtdm_Contrast_20_binCount,0.693394964,0.658989711,0.728315887
wavelet-HHH_ngtdm_Strength_20_binCount,0.831366782,0.808264877,0.85380744
wavelet-LLL_glcm_Autocorrelation_20_binCount,0.75148381,0.721037057,0.781820771
wavelet-LLL_glcm_JointAverage_20_binCount,0.74141348,0.710198259,0.772615989
wavelet-LLL_glcm_ClusterProminence_20_binCount,0.686666486,0.651876227,0.722053894
wavelet-LLL_glcm_ClusterShade_20_binCount,0.727101868,0.694854176,0.759483602
wavelet-LLL_glcm_ClusterTendency_20_binCount,0.857905096,0.837743426,0.877324899
wavelet-LLL_glcm_Contrast_20_binCount,0.80813985,0.782671158,0.833063158
wavelet-LLL_glcm_Correlation_20_binCount,0.901881695,0.887154958,0.915869283
wavelet-LLL_glcm_DifferenceAverage_20_binCount,0.910756624,0.897212926,0.923584238
wavelet-LLL_glcm_DifferenceEntropy_20_binCount,0.930109216,0.919246842,0.940334045
wavelet-LLL_glcm_DifferenceVariance_20_binCount,0.809946921,0.784655502,0.834682518
wavelet-LLL_glcm_JointEnergy_20_binCount,0.835425469,0.812756857,0.857416801
wavelet-LLL_glcm_JointEntropy_20_binCount,0.928520242,0.917432441,0.938962551
wavelet-LLL_glcm_Imc1_20_binCount,0.914904504,0.901923745,0.92718271
wavelet-LLL_glcm_Imc2_20_binCount,0.892489437,0.876542413,0.907681441
wavelet-LLL_glcm_Idm_20_binCount,0.935851932,0.92581217,0.945285155
wavelet-LLL_glcm_Idmn_20_binCount,0.834082637,0.811270016,0.856223139
wavelet-LLL_glcm_Id_20_binCount,0.933682291,0.923330285,0.94341562
wavelet-LLL_glcm_Idn_20_binCount,0.921326564,0.909230024,0.932745025
wavelet-LLL_glcm_InverseVariance_20_binCount,0.879399811,0.861806238,0.896230421
wavelet-LLL_glcm_MaximumProbability_20_binCount,0.765047965,0.735691423,0.794172631
wavelet-LLL_glcm_SumSquares_20_binCount,0.85605892,0.835684498,0.875695185
wavelet-LLL_glcm_SumEntropy_20_binCount,0.918708497,0.906249634,0.930478783
wavelet-LLL_glrlm_GrayLevelNonUniformity_20_binCount,0.98413751,0.981508217,0.986570234
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized_20_binCount,0.906109194,0.891942348,0.919546886
wavelet-LLL_glrlm_GrayLevelVariance_20_binCount,0.814948612,0.790153881,0.839159855
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis_20_binCount,0.743747866,0.712707688,0.77475236
wavelet-LLL_glrlm_LongRunEmphasis_20_binCount,0.829492787,0.806192807,0.852139358
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis_20_binCount,0.825290514,0.801550921,0.848395258
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis_20_binCount,0.71776427,0.684880488,0.750883023
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis_20_binCount,0.648022805,0.611312089,0.685825825
wavelet-LLL_glrlm_RunEntropy_20_binCount,0.87266788,0.854251917,0.890323023
wavelet-LLL_glrlm_RunLengthNonUniformity_20_binCount,0.97790277,0.9742666,0.981273788
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized_20_binCount,0.947383762,0.939033352,0.955200918
wavelet-LLL_glrlm_RunPercentage_20_binCount,0.943210539,0.934242984,0.9516166
wavelet-LLL_glrlm_RunVariance_20_binCount,0.784470884,0.756786392,0.811767427
wavelet-LLL_glrlm_ShortRunEmphasis_20_binCount,0.943329612,0.934379574,0.951718933
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis_20_binCount,0.760949199,0.731256528,0.790445796
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis_20_binCount,0.69023153,0.655643382,0.725373458
wavelet-LLL_glszm_GrayLevelNonUniformity_20_binCount,0.963198326,0.957246478,0.968742082
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized_20_binCount,0.621588716,0.583846375,0.660782532
wavelet-LLL_glszm_GrayLevelVariance_20_binCount,0.742580644,0.711452709,0.773684346
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis_20_binCount,0.762167448,0.732574076,0.791554004
wavelet-LLL_glszm_LargeAreaEmphasis_20_binCount,0.949479186,0.941441134,0.956998908
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis_20_binCount,0.967057386,0.96170527,0.972036404
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis_20_binCount,0.791491845,0.764444118,0.818101013
wavelet-LLL_glszm_LowGrayLevelZoneEmphasis_20_binCount,0.376792904,0.339875951,0.418241269
wavelet-LLL_glszm_SizeZoneNonUniformity_20_binCount,0.940147318,0.93073095,0.94898271
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized_20_binCount,0.796732321,0.770171133,0.822819286
wavelet-LLL_glszm_SmallAreaEmphasis_20_binCount,0.788230371,0.7608847,0.815160595
wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis_20_binCount,0.753686136,0.723412082,0.783829883
wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis_20_binCount,0.394322116,0.356747152,0.436273789
wavelet-LLL_glszm_ZoneEntropy_20_binCount,0.88878761,0.872368555,0.904447749
wavelet-LLL_glszm_ZonePercentage_20_binCount,0.912896483,0.899642403,0.925441239
wavelet-LLL_glszm_ZoneVariance_20_binCount,0.949561668,0.941535945,0.957069659
wavelet-LLL_gldm_DependenceEntropy_20_binCount,0.860935297,0.841125499,0.879997774
wavelet-LLL_gldm_DependenceNonUniformity_20_binCount,0.89590451,0.880397424,0.910661346
wavelet-LLL_gldm_DependenceNonUniformityNormalized_20_binCount,0.664652118,0.628707392,0.701470925
wavelet-LLL_gldm_DependenceVariance_20_binCount,0.856625354,0.836316077,0.876195305
wavelet-LLL_gldm_GrayLevelNonUniformity_20_binCount,0.981503982,0.978447566,0.984334272
wavelet-LLL_gldm_GrayLevelVariance_20_binCount,0.854040187,0.833434539,0.873912071
wavelet-LLL_gldm_HighGrayLevelEmphasis_20_binCount,0.749746223,0.71916439,0.780234633
wavelet-LLL_gldm_LargeDependenceEmphasis_20_binCount,0.929591607,0.918655696,0.939887353
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis_20_binCount,0.857175812,0.836929953,0.876681235
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis_20_binCount,0.777793723,0.749519619,0.80573093
wavelet-LLL_gldm_LowGrayLevelEmphasis_20_binCount,0.684577994,0.649671302,0.720107445
wavelet-LLL_gldm_SmallDependenceEmphasis_20_binCount,0.919616144,0.907282603,0.931264666
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis_20_binCount,0.870203879,0.851491039,0.888157715
wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis_20_binCount,0.75584555,0.72574245,0.785798483
wavelet-LLL_ngtdm_Busyness_20_binCount,0.968723571,0.963632152,0.973457551
wavelet-LLL_ngtdm_Coarseness_20_binCount,0.965879658,0.960343911,0.97103144
wavelet-LLL_ngtdm_Complexity_20_binCount,0.860940915,0.841131773,0.880002728
wavelet-LLL_ngtdm_Contrast_20_binCount,0.784705159,0.757041637,0.811978993
wavelet-LLL_ngtdm_Strength_20_binCount,0.923003234,0.911140077,0.934195414
original_glcm_Autocorrelation_50_binCount,0.762481344,0.73291364,0.791839477
original_glcm_JointAverage_50_binCount,0.760402413,0.73066534,0.78994826
original_glcm_ClusterProminence_50_binCount,0.727084924,0.694836051,0.759468018
original_glcm_ClusterShade_50_binCount,0.754471648,0.724259594,0.78454614
original_glcm_ClusterTendency_50_binCount,0.878813483,0.861147624,0.895716399
original_glcm_Contrast_50_binCount,0.826917187,0.803347019,0.849845161
original_glcm_Correlation_50_binCount,0.894018938,0.878268417,0.909016436
original_glcm_DifferenceAverage_50_binCount,0.904985276,0.890668932,0.918569633
original_glcm_DifferenceEntropy_50_binCount,0.923791577,0.912038516,0.934877104
original_glcm_DifferenceVariance_50_binCount,0.82573087,0.802037049,0.848787834
original_glcm_JointEnergy_50_binCount,0.871234277,0.852645317,0.889063408
original_glcm_JointEntropy_50_binCount,0.928347161,0.917234862,0.938813118
original_glcm_Imc1_50_binCount,0.802781981,0.776794457,0.828256419
original_glcm_Imc2_50_binCount,0.845543608,0.823980874,0.866394825
original_glcm_Idm_50_binCount,0.890181606,0.873939712,0.905665896
original_glcm_Idmn_50_binCount,0.852089618,0.831261948,0.872188094
original_glcm_Id_50_binCount,0.890973635,0.874832717,0.906357778
original_glcm_Idn_50_binCount,0.912126529,0.898768044,0.924773203
original_glcm_InverseVariance_50_binCount,0.903689393,0.889201258,0.917442433
original_glcm_MaximumProbability_50_binCount,0.840448905,0.818324747,0.861877753
original_glcm_SumSquares_50_binCount,0.877533917,0.859710743,0.894594304
original_glcm_SumEntropy_50_binCount,0.937546079,0.927751361,0.946744096
original_glrlm_GrayLevelNonUniformity_50_binCount,0.993733314,0.992682951,0.994702181
original_glrlm_GrayLevelNonUniformityNormalized_50_binCount,0.9392786,0.929735594,0.948235295
original_glrlm_GrayLevelVariance_50_binCount,0.869262905,0.850437276,0.88733037
original_glrlm_HighGrayLevelRunEmphasis_50_binCount,0.76246691,0.732898026,0.791826352
original_glrlm_LongRunEmphasis_50_binCount,0.801586259,0.775484329,0.827182586
original_glrlm_LongRunHighGrayLevelEmphasis_50_binCount,0.804570625,0.77875518,0.829861979
original_glrlm_LongRunLowGrayLevelEmphasis_50_binCount,0.798177378,0.771752049,0.824118974
original_glrlm_LowGrayLevelRunEmphasis_50_binCount,0.850016868,0.828954776,0.870354979
original_glrlm_RunEntropy_50_binCount,0.874215442,0.855987069,0.891682135
original_glrlm_RunLengthNonUniformity_50_binCount,0.983730984,0.981035583,0.986225196
original_glrlm_RunLengthNonUniformityNormalized_50_binCount,0.891618045,0.875559453,0.906920581
original_glrlm_RunPercentage_50_binCount,0.863389293,0.843866895,0.882160539
original_glrlm_RunVariance_50_binCount,0.771044574,0.742190273,0.799616378
original_glrlm_ShortRunEmphasis_50_binCount,0.882346017,0.86511757,0.898811879
original_glrlm_ShortRunHighGrayLevelEmphasis_50_binCount,0.752010836,0.721605258,0.782301688
original_glrlm_ShortRunLowGrayLevelEmphasis_50_binCount,0.853699522,0.833054999,0.873611056
original_glszm_GrayLevelNonUniformity_50_binCount,0.96015538,0.953734633,0.966141687
original_glszm_GrayLevelNonUniformityNormalized_50_binCount,0.845376848,0.823795591,0.866247087
original_glszm_GrayLevelVariance_50_binCount,0.823267158,0.79931814,0.846590746
original_glszm_HighGrayLevelZoneEmphasis_50_binCount,0.812617159,0.787589804,0.837073698
original_glszm_LargeAreaEmphasis_50_binCount,0.951110011,0.943316211,0.958397445
original_glszm_LargeAreaHighGrayLevelEmphasis_50_binCount,0.950467665,0.942577539,0.957846675
original_glszm_LargeAreaLowGrayLevelEmphasis_50_binCount,0.950529304,0.942648415,0.957899532
original_glszm_LowGrayLevelZoneEmphasis_50_binCount,0.796691493,0.770126477,0.822782557
original_glszm_SizeZoneNonUniformity_50_binCount,0.949289522,0.941223129,0.956836214
original_glszm_SizeZoneNonUniformityNormalized_50_binCount,0.886495214,0.869786372,0.902443383
original_glszm_SmallAreaEmphasis_50_binCount,0.883728095,0.866672025,0.900022037
original_glszm_SmallAreaHighGrayLevelEmphasis_50_binCount,0.822308129,0.798260356,0.845735043
original_glszm_SmallAreaLowGrayLevelEmphasis_50_binCount,0.793051023,0.766147048,0.819505638
original_glszm_ZoneEntropy_50_binCount,0.904031511,0.88958867,0.917740063
original_glszm_ZonePercentage_50_binCount,0.934591756,0.92437042,0.94419944
original_glszm_ZoneVariance_50_binCount,0.951226941,0.943450692,0.958497692
original_gldm_DependenceEntropy_50_binCount,0.884362015,0.867385244,0.900576927
original_gldm_DependenceNonUniformity_50_binCount,0.97615984,0.972244867,0.979791347
original_gldm_DependenceNonUniformityNormalized_50_binCount,0.896027911,0.880536803,0.910768964
original_gldm_DependenceVariance_50_binCount,0.759031694,0.729183767,0.788700625
original_gldm_GrayLevelNonUniformity_50_binCount,0.991672128,0.990279612,0.992957447
original_gldm_GrayLevelVariance_50_binCount,0.877148824,0.859278423,0.894256516
original_gldm_HighGrayLevelEmphasis_50_binCount,0.761993053,0.732385434,0.791395388
original_gldm_LargeDependenceEmphasis_50_binCount,0.814750841,0.789936303,0.838982952
original_gldm_LargeDependenceHighGrayLevelEmphasis_50_binCount,0.810282861,0.785024524,0.83498346
original_gldm_LargeDependenceLowGrayLevelEmphasis_50_binCount,0.760254283,0.7305052,0.789813458
original_gldm_LowGrayLevelEmphasis_50_binCount,0.861615024,0.841884613,0.880596999
original_gldm_SmallDependenceEmphasis_50_binCount,0.931311992,0.920620885,0.941371751
original_gldm_SmallDependenceHighGrayLevelEmphasis_50_binCount,0.861008982,0.841207782,0.880062739
original_gldm_SmallDependenceLowGrayLevelEmphasis_50_binCount,0.856801022,0.836511971,0.876350389
original_ngtdm_Busyness_50_binCount,0.981599773,0.978558846,0.984415634
original_ngtdm_Coarseness_50_binCount,0.967861063,0.962634561,0.972721979
original_ngtdm_Complexity_50_binCount,0.839587639,0.817369492,0.861113423
original_ngtdm_Contrast_50_binCount,0.817352041,0.792799133,0.841308815
original_ngtdm_Strength_50_binCount,0.927478964,0.916243951,0.938063425
log-sigma-1-0-mm-3D_glcm_Autocorrelation_50_binCount,0.817056553,0.792473804,0.8410447
log-sigma-1-0-mm-3D_glcm_JointAverage_50_binCount,0.818895368,0.794498825,0.842687884
log-sigma-1-0-mm-3D_glcm_ClusterProminence_50_binCount,0.827583663,0.804083183,0.850438998
log-sigma-1-0-mm-3D_glcm_ClusterShade_50_binCount,0.825936149,0.802263688,0.84897082
log-sigma-1-0-mm-3D_glcm_ClusterTendency_50_binCount,0.907884655,0.893954925,0.921089965
log-sigma-1-0-mm-3D_glcm_Contrast_50_binCount,0.920595949,0.908398039,0.932112778
log-sigma-1-0-mm-3D_glcm_Correlation_50_binCount,0.81451034,0.789671733,0.838767811
log-sigma-1-0-mm-3D_glcm_DifferenceAverage_50_binCount,0.943597062,0.93468639,0.951948772
log-sigma-1-0-mm-3D_glcm_DifferenceEntropy_50_binCount,0.942079185,0.932945456,0.950644103
log-sigma-1-0-mm-3D_glcm_DifferenceVariance_50_binCount,0.901964457,0.887248617,0.915941326
log-sigma-1-0-mm-3D_glcm_JointEnergy_50_binCount,0.85454233,0.83399406,0.874355711
log-sigma-1-0-mm-3D_glcm_JointEntropy_50_binCount,0.943949351,0.935090574,0.952251491
log-sigma-1-0-mm-3D_glcm_Imc1_50_binCount,0.840997568,0.818933423,0.862364555
log-sigma-1-0-mm-3D_glcm_Imc2_50_binCount,0.911955954,0.898574369,0.924625186
log-sigma-1-0-mm-3D_glcm_Idm_50_binCount,0.93884696,0.929241136,0.947863852
log-sigma-1-0-mm-3D_glcm_Idmn_50_binCount,0.923611607,0.911833392,0.934721496
log-sigma-1-0-mm-3D_glcm_Id_50_binCount,0.936580832,0.926646367,0.945912952
log-sigma-1-0-mm-3D_glcm_Idn_50_binCount,0.945330826,0.936676001,0.953438258
log-sigma-1-0-mm-3D_glcm_InverseVariance_50_binCount,0.808852307,0.783453368,0.833701718
log-sigma-1-0-mm-3D_glcm_MaximumProbability_50_binCount,0.82722252,0.803684258,0.850117231
log-sigma-1-0-mm-3D_glcm_SumSquares_50_binCount,0.911532912,0.898094083,0.924258054
log-sigma-1-0-mm-3D_glcm_SumEntropy_50_binCount,0.948084171,0.939837984,0.955802037
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity_50_binCount,0.986286459,0.984007676,0.988393434
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized_50_binCount,0.93482752,0.924640109,0.944402596
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance_50_binCount,0.898913733,0.883797866,0.913284498
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_50_binCount,0.808307758,0.782855489,0.833213663
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis_50_binCount,0.712626199,0.679404993,0.746139552
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_50_binCount,0.723139049,0.690617793,0.755836699
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_50_binCount,0.613466157,0.57545232,0.65304414
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_50_binCount,0.673545247,0.638047551,0.709803362
log-sigma-1-0-mm-3D_glrlm_RunEntropy_50_binCount,0.884306185,0.867322424,0.900528062
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity_50_binCount,0.973614608,0.969294586,0.977625088
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized_50_binCount,0.940800242,0.931479241,0.94954433
log-sigma-1-0-mm-3D_glrlm_RunPercentage_50_binCount,0.924193511,0.912496672,0.935224597
log-sigma-1-0-mm-3D_glrlm_RunVariance_50_binCount,0.644213967,0.60734057,0.682230578
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis_50_binCount,0.931514198,0.920851936,0.941546168
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis_50_binCount,0.825742468,0.802049853,0.848798172
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_50_binCount,0.691588194,0.657078072,0.726635708
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity_50_binCount,0.95423957,0.946917312,0.961079273
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized_50_binCount,0.794809299,0.768068454,0.821088796
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance_50_binCount,0.714704593,0.681618803,0.748059265
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis_50_binCount,0.731853778,0.699941158,0.763850614
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis_50_binCount,0.914320503,0.901260098,0.926676342
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis_50_binCount,0.947495685,0.939161917,0.955296984
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis_50_binCount,0.748520482,0.717843985,0.779115202
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_50_binCount,0.619692621,0.581884998,0.65897794
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity_50_binCount,0.881014481,0.863620622,0.897645484
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized_50_binCount,0.83270798,0.809748606,0.855000666
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis_50_binCount,0.827743858,0.804260152,0.850581714
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis_50_binCount,0.73980424,0.708469438,0.771142331
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_50_binCount,0.566323934,0.527151315,0.607725322
log-sigma-1-0-mm-3D_glszm_ZoneEntropy_50_binCount,0.875429387,0.857348776,0.892747797
log-sigma-1-0-mm-3D_glszm_ZonePercentage_50_binCount,0.952169274,0.944534661,0.959305453
log-sigma-1-0-mm-3D_glszm_ZoneVariance_50_binCount,0.914382878,0.901330974,0.92673043
log-sigma-1-0-mm-3D_gldm_DependenceEntropy_50_binCount,0.90516942,0.890877538,0.918729771
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity_50_binCount,0.935884531,0.925849474,0.945313235
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized_50_binCount,0.922369951,0.910418521,0.933647687
log-sigma-1-0-mm-3D_gldm_DependenceVariance_50_binCount,0.847489352,0.826143498,0.868118063
log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity_50_binCount,0.977743745,0.974082089,0.981138563
log-sigma-1-0-mm-3D_gldm_GrayLevelVariance_50_binCount,0.914636681,0.901619381,0.926950501
log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis_50_binCount,0.814953762,0.790159548,0.839164462
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis_50_binCount,0.890837256,0.874678935,0.906238656
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_50_binCount,0.849669194,0.828567932,0.870047384
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_50_binCount,0.732808159,0.700963762,0.764726894
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis_50_binCount,0.683903175,0.648959173,0.719478244
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis_50_binCount,0.952163123,0.944527585,0.959300182
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis_50_binCount,0.936736785,0.926824875,0.946047255
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis_50_binCount,0.827955895,0.804494406,0.850770606
log-sigma-1-0-mm-3D_ngtdm_Busyness_50_binCount,0.947372362,0.939020258,0.955191133
log-sigma-1-0-mm-3D_ngtdm_Coarseness_50_binCount,0.965433691,0.959828547,0.970650798
log-sigma-1-0-mm-3D_ngtdm_Complexity_50_binCount,0.88004512,0.862531248,0.896796041
log-sigma-1-0-mm-3D_ngtdm_Contrast_50_binCount,0.914210252,0.901134826,0.926580737
log-sigma-1-0-mm-3D_ngtdm_Strength_50_binCount,0.927952221,0.916784066,0.938472111
log-sigma-3-0-mm-3D_glcm_Autocorrelation_50_binCount,0.814824162,0.790016966,0.839048538
log-sigma-3-0-mm-3D_glcm_JointAverage_50_binCount,0.81536477,0.790611766,0.839532068
log-sigma-3-0-mm-3D_glcm_ClusterProminence_50_binCount,0.822346475,0.798302644,0.845769262
log-sigma-3-0-mm-3D_glcm_ClusterShade_50_binCount,0.840866779,0.818788319,0.86224852
log-sigma-3-0-mm-3D_glcm_ClusterTendency_50_binCount,0.912823343,0.899559335,0.925377787
log-sigma-3-0-mm-3D_glcm_Contrast_50_binCount,0.902987098,0.888406122,0.916831365
log-sigma-3-0-mm-3D_glcm_Correlation_50_binCount,0.861583001,0.841848847,0.880568772
log-sigma-3-0-mm-3D_glcm_DifferenceAverage_50_binCount,0.954731322,0.947483495,0.961500438
log-sigma-3-0-mm-3D_glcm_DifferenceEntropy_50_binCount,0.959389168,0.952850909,0.965486526
log-sigma-3-0-mm-3D_glcm_DifferenceVariance_50_binCount,0.886962944,0.870313072,0.902852461
log-sigma-3-0-mm-3D_glcm_JointEnergy_50_binCount,0.954534397,0.947256753,0.961331787
log-sigma-3-0-mm-3D_glcm_JointEntropy_50_binCount,0.963368117,0.957442537,0.968887108
log-sigma-3-0-mm-3D_glcm_Imc1_50_binCount,0.954495367,0.947211815,0.96129836
log-sigma-3-0-mm-3D_glcm_Imc2_50_binCount,0.873347334,0.855013624,0.890919819
log-sigma-3-0-mm-3D_glcm_Idm_50_binCount,0.973800113,0.969509529,0.97778303
log-sigma-3-0-mm-3D_glcm_Idmn_50_binCount,0.909172318,0.89541529,0.922208561
log-sigma-3-0-mm-3D_glcm_Id_50_binCount,0.974113972,0.969873224,0.978050233
log-sigma-3-0-mm-3D_glcm_Idn_50_binCount,0.958774767,0.952142439,0.964961061
