,MedianICC,MedianICCLower,MedianICCHigher
log-sigma-6-0-mm-3D_firstorder_Range,0.90076619,0.885892817,0.914898074
log-sigma-6-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.940124338,0.930704615,0.94896294
log-sigma-6-0-mm-3D_firstorder_RootMeanSquared,0.915795702,0.902936729,0.927955261
log-sigma-6-0-mm-3D_firstorder_Skewness,0.910052007,0.896413316,0.922972492
log-sigma-6-0-mm-3D_firstorder_TotalEnergy,0.994725693,0.99384065,0.99554181
log-sigma-6-0-mm-3D_firstorder_Uniformity,0.924330317,0.912652627,0.935342863
log-sigma-6-0-mm-3D_firstorder_Variance,0.926420477,0.915036234,0.937149144
wavelet-LLH_firstorder_10Percentile,0.915314288,0.902389491,0.927537965
wavelet-LLH_firstorder_90Percentile,0.95578074,0.948692061,0.962399007
wavelet-LLH_firstorder_Energy,0.994708488,0.993820576,0.995527255
wavelet-LLH_firstorder_Entropy,0.78444464,0.7567578,0.811743727
wavelet-LLH_firstorder_InterquartileRange,0.945191761,0.936516373,0.953318816
wavelet-LLH_firstorder_Kurtosis,0.705842295,0.672189223,0.739864698
wavelet-LLH_firstorder_Maximum,0.843667897,0.821897379,0.864732618
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.954386211,0.947086139,0.961204872
wavelet-LLH_firstorder_Mean,0.91485711,0.901869883,0.927141619
wavelet-LLH_firstorder_Median,0.84433443,0.822637604,0.865323394
wavelet-LLH_firstorder_Minimum,0.76669853,0.737478988,0.795672053
wavelet-LLH_firstorder_Range,0.855095618,0.834610676,0.874844457
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.9423661,0.933274467,0.950890763
wavelet-LLH_firstorder_RootMeanSquared,0.914758575,0.901757902,0.927056188
wavelet-LLH_firstorder_Skewness,0.821056492,0.796880326,0.84461787
wavelet-LLH_firstorder_TotalEnergy,0.994708488,0.993820576,0.995527255
wavelet-LLH_firstorder_Uniformity,0.605873282,0.567624867,0.645791893
wavelet-LLH_firstorder_Variance,0.91343494,0.900254004,0.925908326
wavelet-LHL_firstorder_10Percentile,0.903316344,0.88877887,0.917117859
wavelet-LHL_firstorder_90Percentile,0.897556862,0.88226418,0.912102012
wavelet-LHL_firstorder_Energy,0.99471121,0.993823751,0.995529557
wavelet-LHL_firstorder_Entropy,0.827895222,0.804427373,0.850716556
wavelet-LHL_firstorder_InterquartileRange,0.895253648,0.879662386,0.910093665
wavelet-LHL_firstorder_Kurtosis,0.683197373,0.64821451,0.718820008
wavelet-LHL_firstorder_Maximum,0.809955694,0.784665139,0.834690378
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.912752377,0.899478739,0.92531622
wavelet-LHL_firstorder_Mean,0.909365697,0.895634658,0.922376511
wavelet-LHL_firstorder_Median,0.807864419,0.782368807,0.832816256
wavelet-LHL_firstorder_Minimum,0.780207079,0.752144288,0.807914199
wavelet-LHL_firstorder_Range,0.855358089,0.834903227,0.87507628
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.898301802,0.88310611,0.912751274
wavelet-LHL_firstorder_RootMeanSquared,0.908178185,0.894287769,0.921344995
wavelet-LHL_firstorder_Skewness,0.744529943,0.713548825,0.775467742
wavelet-LHL_firstorder_TotalEnergy,0.99471121,0.993823751,0.995529557
wavelet-LHL_firstorder_Uniformity,0.652378973,0.615860135,0.689932289
wavelet-LHL_firstorder_Variance,0.889037054,0.872649647,0.904665764
wavelet-LHH_firstorder_10Percentile,0.895047273,0.879429352,0.90991364
wavelet-LHH_firstorder_90Percentile,0.884412019,0.867441509,0.900620693
wavelet-LHH_firstorder_Energy,0.994705413,0.993816988,0.995524654
wavelet-LHH_firstorder_Entropy,0.702814439,0.66897361,0.737059646
wavelet-LHH_firstorder_InterquartileRange,0.88268455,0.865498261,0.899108349
wavelet-LHH_firstorder_Kurtosis,0.664926098,0.628994754,0.701727988
wavelet-LHH_firstorder_Maximum,0.8168634,0.792261162,0.840872042
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.936075608,0.926068138,0.945477821
wavelet-LHH_firstorder_Mean,0.805927351,0.780243183,0.831079228
wavelet-LHH_firstorder_Median,0.66708414,0.631259067,0.703751984
wavelet-LHH_firstorder_Minimum,0.837912193,0.815511969,0.85962596
wavelet-LHH_firstorder_Range,0.872405479,0.853957795,0.89009251
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.888413763,0.871947317,0.904120971
wavelet-LHH_firstorder_RootMeanSquared,0.810335554,0.78508241,0.835030661
